# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.061905280589533,6.769971931993018,-0.010037303888634493,0,3.0,-0.027651275674810474,0.0,0.0,0.0
 0.089923769424991,2.0740347068648086,6.769969807111573,-0.010037303888634493,0.269771308274973,2.9999999999999996,-0.027651275674810474,0.0,-0.5121379302397959,0.0
 0.127844399726474,2.0864215645783903,6.7699634385655125,-0.02945789700462448,0.38353319917942197,3.000000000000001,-0.02593543627103416,0.0,-0.6293687799980947,0.0
 0.15739218053868886,2.0990637220619117,6.769952835502253,-0.04805434776605927,0.47217654161606654,2.9999999999999982,-0.02437204609089011,0.0,-0.7053147065174218,0.0
 0.18267235122451614,2.111959047647005,6.769938007069209,-0.06588482393404387,0.5480170536735484,3.0,-0.02294437876865213,0.0,-0.7576776558646092,0.0
 0.20526431361503678,2.125105409665302,6.7699189624137945,-0.08300224903947495,0.6157929408451103,3.0,-0.021637876848797623,0.0,-0.7944939762239595,0.0
 0.22597263053929126,2.1385006764484364,6.769895710683425,-0.0994548820935318,0.6779178916178737,3.0000000000000013,-0.020439831182175842,0.0,-0.8203356622977174,0.0
 0.24527197438094162,2.152142716328041,6.769868261025516,-0.11528682210578342,0.7358159231428248,3.0000000000000013,-0.019339109890613587,0.0,-0.8381175351416429,0.0
 0.2634694536047063,2.1660293976357474,6.769836622587481,-0.13053844853859634,0.7904083608141189,3.0,-0.018325935356471885,0.0,-0.8498304049117634,0.0
 0.2807768579514596,2.180158588703189,6.769800804516737,-0.14524680698256934,0.8423305738543788,2.999999999999997,-0.017391695661733847,0.0,-0.8568977221611648,0.0
 0.29734726134235573,2.1945281578619986,6.769760815960695,-0.15944594790351985,0.892041784027067,2.9999999999999933,-0.01652878275245485,0.0,-0.8603707575250478,0.0
 0.3132953590905502,2.209135973443808,6.769716666066775,-0.1731672248442174,0.9398860772716503,2.9999999999999964,-0.015730460899504032,0.0,-0.8610446892246088,0.0
 0.32870957998932304,2.223979903780251,6.769668363982388,-0.18643955788764077,0.9861287399679689,3.0,-0.014990749591909571,0.0,-0.8595320106039258,0.0
 0.34365970241587657,2.23905781720296,6.76961591885495,-0.19928966667571116,1.0309791072476293,2.999999999999989,-0.014304327940956376,0.0,-0.8563112330239454,0.0
 0.35820185741589433,2.2543675820435665,6.7695593398318765,-0.21174227735460172,1.0746055722476826,3.0,-0.013666449175397178,0.0,-0.8517603955284307,0.0
 0.37238193577851275,2.2699070666337042,6.7694986360605816,-0.2238203065093697,1.1171458073355378,2.999999999999996,-0.013072871700602166,0.0,-0.8461808471526882,0.0
 0.38623797935997217,2.285674139305006,6.769433816688481,-0.23554502520531362,1.158713938079916,3.0,-0.012519793735779003,0.0,-0.8398145304864609,0.0
 0.39980190316740416,2.3016666683891036,6.769364890862988,-0.24693620550920622,1.199405709502212,2.999999999999992,-0.012003806071437058,0.0,-0.8328568062508368,0.0
 0.41310076326143097,2.3178825222176305,6.7692918677315195,-0.25801225165389413,1.2393022897842922,2.9999999999999916,-0.011521839966573084,0.0,-0.8254661349477944,0.0
 0.4261577084373493,2.334319569122219,6.769214756441488,-0.26879031772248463,1.2784731253120472,2.9999999999999956,-0.011071131305627946,0.0,-0.8177714861026402,0.0
 0.43899270676043123,2.350975677434502,6.769133566140312,-0.27928641337527627,1.316978120281293,2.9999999999999956,-0.010649184014563351,0.0,-0.8098780933733284,0.0
 0.45162310860945,2.367848715486112,6.769048305975401,-0.28951549914329855,1.354869325828349,2.999999999999991,-0.010253742091989192,0.0,-0.8018719479339464,0.0
 0.4640640889025353,2.384936551608681,6.768958985094176,-0.2994915722451227,1.3921922667076052,3.0000000000000133,-0.009882760569621691,0.0,-0.7938233785154071,0.0
 0.476328998632048,2.402237054133843,6.7688656126440465,-0.30922774432379097,1.4289869958961432,3.0,-0.009534385124378306,0.0,-0.7857898799233496,0.0
 0.48842964735716865,2.41974809139323,6.76876819777243,-0.31873631163249816,1.465288942071505,2.999999999999977,-0.009206929634814025,0.0,-0.7778184098322068,0.0
 0.5003765324611762,2.4374675317184744,6.7686667496267425,-0.3280288188065454,1.5011295973835275,2.9999999999999907,-0.008898859253648743,0.0,-0.7699472326486887,0.0
 0.5121790268832348,2.4553932434412093,6.768561277354396,-0.337116116725161,1.5365370806497034,3.0000000000000093,-0.008608775529396994,0.0,-0.7622074204661906,0.0
 0.5238455341144259,2.4735230948930664,6.768451790102808,-0.3460084151076973,1.5715366023432766,2.9999999999999907,-0.008335401802099632,0.0,-0.7546240888411585,0.0
 0.5353836171358529,2.49185495440568,6.768338297019391,-0.3547153304947153,1.6061508514075575,2.9999999999999902,-0.0080775693287734,0.0,-0.7472174012403305,0.0
 0.5468001064285862,2.5103866903106815,6.768220807251562,-0.36324592995531957,1.6404003192857575,3.0,-0.007834211180392101,0.0,-0.7400034054585692,0.0
 0.558101191036427,2.529116170939704,6.768099329946734,-0.3716087710504971,1.6743035731092797,3.0,-0.007604345710713623,0.0,-0.7329947212570231,0.0
 0.5692924958001596,2.5480412646243797,6.767973874252323,-0.37981193836629173,1.7078774874004776,3.0,-0.0073870753230891924,0.0,-0.7262011150265238,0.0
 0.5803791472278893,2.567159839696342,6.767844449315745,-0.38786307699501943,1.7411374416836667,3.0,-0.007181573601855297,0.0,-0.7196299767485695,0.0
